Title,Year,Duration,Rate
1. The Shawshank Redemption,1994,2h 22m,9.3
2. The Godfather,1972,2h 55m,9.2
3. The Dark Knight,2008,2h 32m,9.0
4. The Godfather Part II,1974,3h 22m,9.0
5. 12 Angry Men,1957,1h 36m,9.0
6. The Lord of the Rings: The Return of the King,2003,3h 21m,9.0
7. Schindler's List,1993,3h 15m,9.0
8. Pulp Fiction,1994,2h 34m,8.9
9. The Lord of the Rings: The Fellowship of the Ring,2001,2h 58m,8.9
"10. The Good, the Bad and the Ugly",1966,2h 41m,8.8
11. Forrest Gump,1994,2h 22m,8.8
12. The Lord of the Rings: The Two Towers,2002,2h 59m,8.8
13. Fight Club,1999,2h 19m,8.8
14. Inception,2010,2h 28m,8.8
15. Star Wars: Episode V - The Empire Strikes Back,1980,2h 4m,8.7
16. The Matrix,1999,2h 16m,8.7
17. GoodFellas,1990,2h 25m,8.7
18. Interstellar,2014,2h 49m,8.7
19. One Flew Over the Cuckoo's Nest,1975,2h 13m,8.7
20. Se7en,1995,2h 7m,8.6
21. It's a Wonderful Life,1946,2h 10m,8.6
22. The Silence of the Lambs,1991,1h 58m,8.6
23. Shichinin no samurai,1954,3h 27m,8.6
24. Saving Private Ryan,1998,2h 49m,8.6
25. The Green Mile,1999,3h 9m,8.6
